id_amc,QL,lisa_cat,lisa_rotulo,ano
7059,0.4230769814981136,0,Não Significativo,1985
7062,0.0456962806508338,3,Baixo-Baixo,1985
7063,3.4777207672484605,0,Não Significativo,1985
7064,0.6327733859597737,3,Baixo-Baixo,1985
7066,0.5220215132865635,3,Baixo-Baixo,1985
7069,1.937676751631356,0,Não Significativo,1985
7070,0.928002331049984,0,Não Significativo,1985
7071,0.5009661608843645,0,Não Significativo,1985
7072,4.482164529781604,0,Não Significativo,1985
7073,1.068608744845436,3,Baixo-Baixo,1985
7074,0.8277097868327493,0,Não Significativo,1985
7075,3.1158498225482827,0,Não Significativo,1985
7076,1.2738156830986231,0,Não Significativo,1985
7078,0.2068437177140361,3,Baixo-Baixo,1985
7079,0.3338844365682481,0,Não Significativo,1985
7080,2.29689465846088,0,Não Significativo,1985
7083,0.2735788865641845,3,Baixo-Baixo,1985
7088,0.1127787430186082,0,Não Significativo,1985
7091,0.0841565951931339,3,Baixo-Baixo,1985
7092,0.7895291793208081,0,Não Significativo,1985
7094,0.1515137757013368,0,Não Significativo,1985
7096,1.0728391373819717,0,Não Significativo,1985
7097,0.4517357701557476,3,Baixo-Baixo,1985
7099,0.0123637949132929,3,Baixo-Baixo,1985
7101,8.625748285730785,0,Não Significativo,1985
7105,0.3056904318282033,0,Não Significativo,1985
7106,1.529309963924208,0,Não Significativo,1985
7107,1.049113192209458,0,Não Significativo,1985
7109,0.254884993987368,3,Baixo-Baixo,1985
7110,0.5104210352135288,0,Não Significativo,1985
7111,0.0701157316793321,0,Não Significativo,1985
7112,10.431573783287256,0,Não Significativo,1985
7115,3.407158316898492,0,Não Significativo,1985
7116,0.1978513220654421,3,Baixo-Baixo,1985
7117,0.0548708983561423,3,Baixo-Baixo,1985
7122,0.313212907971938,0,Não Significativo,1985
7127,4.110033634020907,0,Não Significativo,1985
7128,0.4991586226963276,0,Não Significativo,1985
7129,0.0898246187980655,3,Baixo-Baixo,1985
7130,0.0183027876246653,0,Não Significativo,1985
7132,0.4473802282524549,0,Não Significativo,1985
