id_amc,ano,area_colhida_ha,total_area_colhida_ha,QL
10020,1996,0.0,5500.0,0.0
10020,2005,0.0,1987.0,0.0
10020,2024,0.0,2031.0,0.0
10021,1985,0.0,3414.0,0.0
10021,1996,0.0,4671.0,0.0
10021,2005,0.0,2959.0,0.0
10021,2024,0.0,990.0,0.0
10022,1985,0.0,666.0,0.0
10022,1996,0.0,513.0,0.0
10022,2005,0.0,1300.0,0.0
10022,2024,0.0,2714.0,0.0
10023,1985,0.0,3156.0,0.0
10023,1996,0.0,1945.0,0.0
10023,2005,0.0,2617.0,0.0
10023,2024,0.0,712.0,0.0
10024,1985,900.0,8377.0,2.146912400113249
10024,1996,1800.0,2920.0,33.25986481480944
10024,2005,1500.0,2200.0,30.55730357389013
10024,2024,30.0,2400.0,0.5687909229031597
10025,1985,0.0,10464.0,0.0
10025,1996,0.0,8551.0,0.0
10025,2005,0.0,15781.0,0.0
10025,2024,0.0,1701.0,0.0
10026,1985,0.0,802.0,0.0
10026,1996,0.0,770.0,0.0
10026,2005,0.0,750.0,0.0
10026,2024,0.0,522.0,0.0
10027,1985,0.0,1818.0,0.0
10027,1996,0.0,2625.0,0.0
10027,2005,0.0,1379.0,0.0
10027,2024,0.0,576.0,0.0
10028,1985,0.0,1028.0,0.0
10028,1996,0.0,488.0,0.0
10028,2005,0.0,471.0,0.0
10028,2024,0.0,867.0,0.0
10029,1985,0.0,63.0,0.0
10029,1996,0.0,0.0,0.0
10029,2005,0.0,250.0,0.0
10029,2024,0.0,98.0,0.0
1003,1985,0.0,1176.0,0.0
1003,1996,0.0,3774.0,0.0
1003,2005,0.0,1951.0,0.0
1003,2024,0.0,1208.0,0.0
10030,1985,0.0,4014.0,0.0
10030,1996,0.0,11282.0,0.0
10030,2005,0.0,16009.0,0.0
10030,2024,3613.0,25465.0,6.456050593203584
10031,1985,0.0,7147.0,0.0
10031,1996,0.0,2791.0,0.0
10031,2005,0.0,4220.0,0.0
10031,2024,0.0,5200.0,0.0
10032,1985,350.0,45222.0,0.15466021482936135
10032,1996,0.0,30045.0,0.0
10032,2005,0.0,14975.0,0.0
10032,2024,0.0,7016.0,0.0
10033,1985,250.0,19028.0,0.2625470823077787
10033,1996,487.0,2654.0,9.900539680409363
10033,2005,5305.0,12197.0,19.49300593101428
10033,2024,0.0,10070.0,0.0
10034,1985,80.0,3271.0,0.4887308719928989
10034,1996,480.0,2295.0,11.284683254523578
10034,2005,0.0,550.0,0.0
10034,2024,0.0,2091.0,0.0
10035,1985,0.0,1957.0,0.0
10035,1996,0.0,1262.0,0.0
10035,2005,0.0,3720.0,0.0
10035,2024,0.0,2707.0,0.0
10036,1985,0.0,5999.0,0.0
10036,1996,20.0,8089.0,0.13340311981874362
10036,2005,0.0,4525.0,0.0
10036,2024,0.0,1146.0,0.0
10037,1985,0.0,211.0,0.0
10037,1996,0.0,68.0,0.0
10037,2005,0.0,619.0,0.0
10037,2024,0.0,47.0,0.0
10038,1985,15.0,46850.0,0.006397966978210133
10038,1996,1100.0,214131.0,0.27716856032877046
10038,2005,58352.0,396144.0,6.601598597001767
10038,2024,43878.0,564987.0,3.533873609855779
10039,1985,0.0,23701.0,0.0
10039,1996,0.0,41740.0,0.0
10039,2005,0.0,53414.0,0.0
10039,2024,0.0,12740.0,0.0
1004,1985,0.0,5256.0,0.0
1004,1996,0.0,758.0,0.0
1004,2005,0.0,1759.0,0.0
1004,2024,0.0,545.0,0.0
10040,1985,0.0,17960.0,0.0
10040,1996,0.0,7962.0,0.0
10040,2005,0.0,18169.0,0.0
10040,2024,0.0,791.0,0.0
10041,1985,0.0,426.0,0.0
10041,1996,0.0,0.0,0.0
10041,2005,0.0,10.0,0.0
10041,2024,0.0,15.0,0.0
10042,1985,0.0,2527.0,0.0
10042,1996,0.0,554.0,0.0
10042,2005,0.0,761.0,0.0
10042,2024,0.0,329.0,0.0
10043,1985,171.0,5661.0,0.60361953425053
10043,1996,0.0,2060.0,0.0
10043,2005,0.0,2780.0,0.0
10043,2024,0.0,3580.0,0.0
10044,1985,0.0,6783.0,0.0
10044,1996,0.0,5515.0,0.0
10044,2005,0.0,5487.0,0.0
